## System ID,Tag Name,Retentive Mode,Initial Value,MODBUS Start Address,MODBUS End Address,Number of Characters,Number of Rows,Number of Columns,Wiring Label,Comment,Forceable,Init Forced,Init Force Value,Remote Access,I/O Address,Data Type,Structure Type,BOW Details,UDS Name,UDS Field Name,UDS Field Type,UDS Field Struct Type,UDS Comment
## 4.0
,,,,,,,,,,,,,,,,,,,"weatherEntry",,,,
,,,,,,,,,,,,,,,,,,,"weatherEntry","ID","S16",,
,,,,,,,,,,,,,,,,,,,"weatherEntry","Main","STR",,
,,,,,,,,,,,,,,,,,,,"weatherEntry","Description","STR",,
,,,,,,,,,,,,,,,,,,,"weatherLookup",,,,
,,,,,,,,,,,,,,,,,,,"weatherLookup","w200","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w201","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w202","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w210","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w211","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w212","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w221","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w230","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w231","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w232","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w300","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w301","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w302","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w310","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w311","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w312","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w313","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w314","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w321","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w500","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w501","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w502","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w503","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w504","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w511","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w520","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w521","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w522","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w531","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w701","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w711","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w721","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w731","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w741","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w751","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w761","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w762","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w771","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w781","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w800","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w801","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w802","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w803","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"weatherLookup","w804","USTRUC","weatherEntry",
,,,,,,,,,,,,,,,,,,,"CurrWeather",,,,
,,,,,,,,,,,,,,,,,,,"CurrWeather","OutsideTemp","US16",,
,,,,,,,,,,,,,,,,,,,"CurrWeather","OutsideHumidity","US16",,
,,,,,,,,,,,,,,,,,,,"CurrWeather","FeelsLikeTemp","US16",,
,,,,,,,,,,,,,,,,,,,"CurrWeather","MaxTemp","US16",,
,,,,,,,,,,,,,,,,,,,"CurrWeather","MinTemp","US16",,
,,,,,,,,,,,,,,,,,,,"CurrWeather","WindDir","US16",,
,,,,,,,,,,,,,,,,,,,"CurrWeather","WindSpeed","US16",,
,,,,,,,,,,,,,,,,,,,"CurrWeather","Description","US8",,
SBR-001008,"1 Minute Bit",false,"False",,,,,,,"On for 30 seconds and Off for 30 seconds",,,,false,,"SBR",,false
SBR-001009,"2 Second Bit",false,"False",,,,,,,"On for 1 second and Off for 1 second",,,,false,,"SBR",,false
AIS32-0.1.3.1,"AIS32-0.1.3.1",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.3.1","AIS32",,false
AIS32-0.1.3.2,"AIS32-0.1.3.2",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.3.2","AIS32",,false
AIS32-0.1.3.3,"AIS32-0.1.3.3",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.3.3","AIS32",,false
AIS32-0.1.3.4,"AIS32-0.1.3.4",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.3.4","AIS32",,false
AIS32-0.1.3.5,"AIS32-0.1.3.5",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.3.5","AIS32",,false
AIS32-0.1.3.6,"AIS32-0.1.3.6",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.3.6","AIS32",,false
AIS32-0.1.3.7,"AIS32-0.1.3.7",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.3.7","AIS32",,false
AIS32-0.1.3.8,"AIS32-0.1.3.8",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.3.8","AIS32",,false
C-000015,"Airflow1",false,"False",000003,000003,,,,,,false,false,"False",false,,"C",,false
C-000014,"Airpump1",false,"False",000002,000002,,,,,,false,false,"False",false,,"C",,false
SBR-001002,"Always Off Bit",false,"False",,,,,,,"always off",,,,false,,"SBR",,false
SBR-001017,"Array out of range error",false,"False",,,,,,,"On if an array index is outside the range of the array",,,,false,,"SBR",,false
SWR-001514,"Array range error rung location",false,"0",,,,,,,"Rung Number in which ""Array out of range error"" occurred",,,,false,,"SWR",,false
SWR-001513,"Array range error task location",false,"0",,,,,,,"Task Number in which ""Array out of range error"" occurred",,,,false,,"SWR",,false
SWR-001506,"Avg Logic Scan Time [x100=usec]",false,"0",,,,,,,"average logic scan time",,,,false,,"SWR",,false
SWR-001503,"Avg Scan Interval [x100=usec]",false,"0",,,,,,,"average overall scan time",,,,false,,"SWR",,false
SBR-001006,"Battery Disabled",false,"False",,,,,,,"On if the ""CPU Battery Alarm"" is disabled in H/W Configuration",,,,false,,"SBR",,false
SBR-001005,"Battery Low Bit",false,"False",,,,,,,"On if the battery is weak (""CPU Battery Alarm"" in H/W Configuration)",,,,false,,"SBR",,false
SWR-001518,"Battery Voltage",false,"0",,,,,,,"battery voltage in 10ths of a volt",,,,false,,"SWR",,false
C-000023,"BeginHeating",false,"False",,,,,,,,false,false,"False",false,,"C",,false
C-000026,"BeginHumidifier",false,"False",,,,,,,,false,false,"False",false,,"C",,false
C-000009,"C1",false,"False",,,,,,,,false,false,"False",false,,"C",,false
SSTR-000041,"CPU Event Log String 01",false,,,,50,,,,"most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000042,"CPU Event Log String 02",false,,,,50,,,,"2nd most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000043,"CPU Event Log String 03",false,,,,50,,,,"3rd most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000044,"CPU Event Log String 04",false,,,,50,,,,"4th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000045,"CPU Event Log String 05",false,,,,50,,,,"5th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000046,"CPU Event Log String 06",false,,,,50,,,,"6th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000047,"CPU Event Log String 07",false,,,,50,,,,"7th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000048,"CPU Event Log String 08",false,,,,50,,,,"8th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000049,"CPU Event Log String 09",false,,,,50,,,,"9th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000050,"CPU Event Log String 10",false,,,,50,,,,"10th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000051,"CPU Event Log String 11",false,,,,50,,,,"11th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000052,"CPU Event Log String 12",false,,,,50,,,,"12th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000053,"CPU Event Log String 13",false,,,,50,,,,"13th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000054,"CPU Event Log String 14",false,,,,50,,,,"14th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000055,"CPU Event Log String 15",false,,,,50,,,,"15th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000056,"CPU Event Log String 16",false,,,,50,,,,"16th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000057,"CPU Event Log String 17",false,,,,50,,,,"17th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000058,"CPU Event Log String 18",false,,,,50,,,,"18th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000059,"CPU Event Log String 19",false,,,,50,,,,"19th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000060,"CPU Event Log String 20",false,,,,50,,,,"20th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000101,"CPU Model Name",false,,,,50,,,,"CPU Model (ex: ""P3-550"")",,,,false,,"SSTR",,false
SSTR-000102,"CPU Program File Name",false,,,,50,,,,"CPU program file name",,,,false,,"SSTR",,false
SBR-001001,"CPU in Run",false,"False",,,,,,,"On during Run or Debug mode",,,,false,,"SBR",,false
SWR-001523,"Clock Day",false,"0",,,,,,,"current Real Time Clock Calendar Day",,,,false,,"SWR",,false
SWRW-001754,"Clock Day Set",false,"0",,,,,,,"new Real Time Clock Day (set all 3 date values then set ""Initiate_New_Date"" on)",,,,false,,"SWRW",,false
SWR-001522,"Clock Day of Week",false,"0",,,,,,,"current Real Time Clock Day of the week (1=Mon ...7=Sun)",,,,false,,"SWR",,false
SWR-001521,"Clock Hours",false,"0",,,,,,,"current Real Time Clock Hours",,,,false,,"SWR",,false
SWRW-001753,"Clock Hours Set",false,"0",,,,,,,"new Real Time Clock Hours (set all 3 time values then set ""Initiate_New_Time"" on)",,,,false,,"SWRW",,false
SWR-001520,"Clock Minutes",false,"0",,,,,,,"current Real Time Clock Minutes",,,,false,,"SWR",,false
SWRW-001752,"Clock Minutes Set",false,"0",,,,,,,"new Real Time Clock Minutes (set all 3 time values then set ""Initiate_New_Time"" on)",,,,false,,"SWRW",,false
SWR-001524,"Clock Month",false,"0",,,,,,,"current Real Time Clock Calendar Month",,,,false,,"SWR",,false
SWRW-001755,"Clock Month Set",false,"0",,,,,,,"new Real Time Clock Month (set all 3 date values then set ""Initiate_New_Date"" on)",,,,false,,"SWRW",,false
SWR-001519,"Clock Seconds",false,"0",,,,,,,"current Real Time Clock Seconds",,,,false,,"SWR",,false
SWRW-001751,"Clock Seconds Set",false,"0",,,,,,,"new Real Time Clock Seconds (set all 3 time values then set ""Initiate_New_Time"" on)",,,,false,,"SWRW",,false
SWR-001525,"Clock Year",false,"0",,,,,,,"current Real Time Clock Calendar Year",,,,false,,"SWR",,false
SWRW-001756,"Clock Year Set",false,"0",,,,,,,"new Real Time Clock Year (set all 3 date values then set ""Initiate_New_Date"" on)",,,,false,,"SWRW",,false
SBR-001012,"Critical Error Bit",false,"False",,,,,,,"On when a critical error is active",,,,false,,"SBR",,false
SWR-000001,"Critical Error Log 01",false,"0",,,,,,,"most recent critical error",,,,false,,"SWR",,false
SWR-000002,"Critical Error Log 02",false,"0",,,,,,,"2nd most recent critical error",,,,false,,"SWR",,false
SWR-000003,"Critical Error Log 03",false,"0",,,,,,,"3rd most recent critical error",,,,false,,"SWR",,false
SWR-000004,"Critical Error Log 04",false,"0",,,,,,,"4th most recent critical error",,,,false,,"SWR",,false
SWR-000005,"Critical Error Log 05",false,"0",,,,,,,"5th most recent critical error",,,,false,,"SWR",,false
SWR-000006,"Critical Error Log 06",false,"0",,,,,,,"6th most recent critical error",,,,false,,"SWR",,false
SWR-000007,"Critical Error Log 07",false,"0",,,,,,,"7th most recent critical error",,,,false,,"SWR",,false
SWR-000008,"Critical Error Log 08",false,"0",,,,,,,"8th most recent critical error",,,,false,,"SWR",,false
SWR-000009,"Critical Error Log 09",false,"0",,,,,,,"9th most recent critical error",,,,false,,"SWR",,false
SWR-000010,"Critical Error Log 10",false,"0",,,,,,,"10th most recent critical error",,,,false,,"SWR",,false
SWR-000011,"Critical Error Log 11",false,"0",,,,,,,"11th most recent critical error",,,,false,,"SWR",,false
SWR-000012,"Critical Error Log 12",false,"0",,,,,,,"12th most recent critical error",,,,false,,"SWR",,false
SWR-000013,"Critical Error Log 13",false,"0",,,,,,,"13th most recent critical error",,,,false,,"SWR",,false
SWR-000014,"Critical Error Log 14",false,"0",,,,,,,"14th most recent critical error",,,,false,,"SWR",,false
SWR-000015,"Critical Error Log 15",false,"0",,,,,,,"15th most recent critical error",,,,false,,"SWR",,false
SWR-000016,"Critical Error Log 16",false,"0",,,,,,,"16th most recent critical error",,,,false,,"SWR",,false
SWR-000017,"Critical Error Log 17",false,"0",,,,,,,"17th most recent critical error",,,,false,,"SWR",,false
SWR-000018,"Critical Error Log 18",false,"0",,,,,,,"18th most recent critical error",,,,false,,"SWR",,false
SWR-000019,"Critical Error Log 19",false,"0",,,,,,,"19th most recent critical error",,,,false,,"SWR",,false
SWR-000020,"Critical Error Log 20",false,"0",,,,,,,"20th most recent critical error",,,,false,,"SWR",,false
SSTR-000001,"Critical Error Log String 01",false,,,,50,,,,"most recent critical error message",,,,false,,"SSTR",,false
SSTR-000002,"Critical Error Log String 02",false,,,,50,,,,"2nd most recent critical error message",,,,false,,"SSTR",,false
SSTR-000003,"Critical Error Log String 03",false,,,,50,,,,"3rd most recent critical error message",,,,false,,"SSTR",,false
SSTR-000004,"Critical Error Log String 04",false,,,,50,,,,"4th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000005,"Critical Error Log String 05",false,,,,50,,,,"5th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000006,"Critical Error Log String 06",false,,,,50,,,,"6th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000007,"Critical Error Log String 07",false,,,,50,,,,"7th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000008,"Critical Error Log String 08",false,,,,50,,,,"8th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000009,"Critical Error Log String 09",false,,,,50,,,,"9th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000010,"Critical Error Log String 10",false,,,,50,,,,"10th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000011,"Critical Error Log String 11",false,,,,50,,,,"11th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000012,"Critical Error Log String 12",false,,,,50,,,,"12th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000013,"Critical Error Log String 13",false,,,,50,,,,"13th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000014,"Critical Error Log String 14",false,,,,50,,,,"14th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000015,"Critical Error Log String 15",false,,,,50,,,,"15th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000016,"Critical Error Log String 16",false,,,,50,,,,"16th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000017,"Critical Error Log String 17",false,,,,50,,,,"17th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000018,"Critical Error Log String 18",false,,,,50,,,,"18th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000019,"Critical Error Log String 19",false,,,,50,,,,"19th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000020,"Critical Error Log String 20",false,,,,50,,,,"20th most recent critical error message",,,,false,,"SSTR",,false
SWR-001510,"Current Critical Error",false,"0",,,,,,,"current critical error number",,,,false,,"SWR",,false
SWR-001516,"Current I/O Config Error Base",false,"0",,,,,,,"I/O base in which ""I/O Configuration Error"" occurred",,,,false,,"SWR",,false
SWR-001515,"Current I/O Config Error Group",false,"0",,,,,,,"I/O group in which ""I/O Configuration Error"" occurred",,,,false,,"SWR",,false
SWR-001517,"Current I/O Config Error Slot",false,"0",,,,,,,"I/O slot in which ""I/O Configuration Error"" occurred",,,,false,,"SWR",,false
SWR-001511,"Current Non-critical Error",false,"0",,,,,,,"current noncritical error number",,,,false,,"SWR",,false
USTRUC-000001,"CurrentWeather",false,,,,,,,,,,,,false,,"USTRUC","CurrWeather",false
US8-000001,"CurrentWeather.Description",false,"0",400017,400017,,,,,,false,false,"0",false,,"US8","CurrWeather",false
US16-000015,"CurrentWeather.FeelsLikeTemp",false,"0",400012,400012,,,,,,false,false,"0",false,,"US16","CurrWeather",false
US16-000016,"CurrentWeather.MaxTemp",false,"0",400013,400013,,,,,,false,false,"0",false,,"US16","CurrWeather",false
US16-000017,"CurrentWeather.MinTemp",false,"0",400014,400014,,,,,,false,false,"0",false,,"US16","CurrWeather",false
US16-000014,"CurrentWeather.OutsideHumidity",false,"0",400011,400011,,,,,,false,false,"0",false,,"US16","CurrWeather",false
US16-000013,"CurrentWeather.OutsideTemp",false,"0",400010,400010,,,,,,false,false,"0",false,,"US16","CurrWeather",false
US16-000018,"CurrentWeather.WindDir",false,"0",400015,400015,,,,,,false,false,"0",false,,"US16","CurrWeather",false
US16-000019,"CurrentWeather.WindSpeed",false,"0",400016,400016,,,,,,false,false,"0",false,,"US16","CurrWeather",false
US16-000010,"DECIMAL_CONVERT",true,"2",,,,,,,,true,true,"2",false,,"US16",,false
DI-0.1.2.10,"DI-0.1.2.10",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.2.10","DI",,false
DI-0.1.2.11,"DI-0.1.2.11",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.2.11","DI",,false
DI-0.1.2.12,"DI-0.1.2.12",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.2.12","DI",,false
DI-0.1.2.13,"DI-0.1.2.13",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.2.13","DI",,false
DI-0.1.2.14,"DI-0.1.2.14",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.2.14","DI",,false
DI-0.1.2.15,"DI-0.1.2.15",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.2.15","DI",,false
DI-0.1.2.16,"DI-0.1.2.16",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.2.16","DI",,false
DI-0.1.2.5,"DI-0.1.2.5",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.2.5","DI",,false
DI-0.1.2.6,"DI-0.1.2.6",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.2.6","DI",,false
DI-0.1.2.7,"DI-0.1.2.7",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.2.7","DI",,false
DI-0.1.2.8,"DI-0.1.2.8",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.2.8","DI",,false
DI-0.1.2.9,"DI-0.1.2.9",false,"False",,,,,,,,false,false,"False",false,"DI-0.1.2.9","DI",,false
US16-000021,"DateCurrentCount",false,"1",,,,,,,,false,false,"0",false,,"US16",,false
US16-000022,"Date_LoopCount",false,"6",,,,,,,,false,false,"0",false,,"US16",,false
SWR-001526,"Ethernet Speed [External]",false,"0",,,,,,,"""Ethernet"" port speed (Ethernet 10 or 100)",,,,false,,"SWR",,false
SWR-001527,"Ethernet Speed [Internal]",false,"0",,,,,,,"""Remote I/O"" port speed (Ethernet 10 or 100)",,,,false,,"SWR",,false
SBR-001004,"Every Other Scan Bit",false,"False",,,,,,,"toggles at the start of each scan",,,,false,,"SBR",,false
SWR-001509,"Firmware Version",false,"0",,,,,,,"CPU Firmware Version Number in Hex (ex: 0x0102 is version 01.02 or 1.2)",,,,false,,"SWR",,false
SSTR-000104,"Firmware Version[CPU]",false,,,,50,,,,"CPU firmware version viewed as 001.000.009.023",,,,false,,"SSTR",,false
SWR-001528,"Firmware Version[major]",false,"0",,,,,,,"CPU firmware Major version number in hex. (ex:  0x0100 =  major version 1.0)",,,,false,,"SWR",,false
SWR-001529,"Firmware Version[minor]",false,"0",,,,,,,"CPU firmware Minor version number in hex. (ex: 0x0917 = minor version 9.23)",,,,false,,"SWR",,false
SBR-001003,"First Scan Bit",false,"False",,,,,,,"On during first scan in Run or Debug mode",,,,false,,"SBR",,false
SWR-001530,"First Scan Interval [x100=usec]",false,"0",,,,,,,"Holds the value of the First Scan time",,,,false,,"SWR",,false
SBR-001007,"Forces Enabled",false,"False",,,,,,,"On if any forces are enabled",,,,false,,"SBR",,false
C-000030,"FuncTMRDone",false,"False",,,,,,,,false,false,"False",false,,"C",,false
C-000013,"Heatpads1",false,"False",000001,000001,,,,,,false,false,"False",false,,"C",,false
US16-000023,"HourCurrentCount",false,"1",,,,,,,,false,false,"0",false,,"US16",,false
US16-000007,"Humidity",false,"0",400006,400006,,,,,,false,false,"0",false,,"US16",,false
US16-000006,"Humidity_Decimal",false,"0",400007,400007,,,,,,false,false,"0",false,,"US16",,false
SBR-001015,"I/O Configuration Error",false,"False",,,,,,,"On if actual I/O configuration and project I/O configuration do not match",,,,false,,"SBR",,false
SBR-001014,"I/O Error",false,"False",,,,,,,"On for any module error (such as a blown fuse)",,,,false,,"SBR",,false
C-000034,"IN1",false,"False",,,,,,,,false,false,"False",false,,"DI",,false
SWRW-001758,"Identify Module Base Number",false,"0",,,,,,,"base number of module to be identified (See ""Requested Module Name"" tag)",,,,false,,"SWRW",,false
SWRW-001757,"Identify Module Group Number",false,"0",,,,,,,"group number of module to be identified (See ""Requested Module Name"" tag)",,,,false,,"SWRW",,false
SBRW-001005,"Identify Module Request bit",false,"False",,,,,,,"set On to refresh ""Requested Module Name"" tag per the 3 ""Identify"" GBS tags",,,,false,,"SBRW",,false
SWRW-001759,"Identify Module Slot Number",false,"0",,,,,,,"slot number of module to be identified (See ""Requested Module Name"" tag)",,,,false,,"SWRW",,false
SBRW-001002,"Initiate_New_Date",false,"False",,,,,,,"set On to change clock date (see ""Clock Year Set"" tag)",,,,false,,"SBRW",,false
SBRW-001001,"Initiate_New_Time",false,"False",,,,,,,"set On to change clock time (see ""Clock Hours Set"" tag)",,,,false,,"SBRW",,false
SWR-001504,"Last Logic Scan Time [x100=usec]",false,"0",,,,,,,"most recent logic scan time",,,,false,,"SWR",,false
SWR-001501,"Last Scan Interval [x100=usec]",false,"0",,,,,,,"most recent overall scan time",,,,false,,"SWR",,false
S32-000002,"MAX_HUM",false,"7500",,,,,,,,false,false,"0",false,,"S32",,false
US16-000012,"MAX_TEMP",false,"7200",,,,,,,,false,false,"0",false,,"US16",,false
S32-000001,"MIN_HUM",false,"6900",,,,,,,,false,false,"0",false,,"S32",,false
US16-000011,"MIN_TEMP",false,"6900",,,,,,,,false,false,"0",false,,"US16",,false
S16-000003,"MQTT_Test",false,"0",,,,,,,,false,false,"0",false,,"S16",,false
MST-0.1.3.25,"MST-0.1.3.25",false,"False",,,,,,,"Module Failed",false,false,"False",false,"MST-0.1.3.25","MST",,false
MST-0.1.3.26,"MST-0.1.3.26",false,"False",,,,,,,"Missing 24V",false,false,"False",false,"MST-0.1.3.26","MST",,false
